,tweet_id,user_id,user_name,twitter_handle,profile_image_url,tweet_description,friends_count,followers_count,user_account_created,tweet_text,created_at,tweet_likes,tags,restaurant_url,target_user
148,1590673350136692736,1089617665428197376,Danny López,daloelpibe,https://pbs.twimg.com/profile_images/1378529829776154625/ADItuv8S_normal.jpg,⚽️,1800,166,2019-01-27 20:14:30+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 11:50:54+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
149,1590670118346182659,307345493,@AlejandroCeo,alejoceo,https://pbs.twimg.com/profile_images/1439066106971492353/wyDnzFB9_normal.jpg,Investor & Content Creator 50k -Lcdo Administración de Empresas ♐️,1879,59715,2011-05-29 13:32:21+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 11:38:04+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
150,1590664861281026048,1186190855134240768,Noor Bukhari,BukhariMahfooz,https://pbs.twimg.com/profile_images/1571564368625651713/7vwkh2pO_normal.jpg,"Member of IFAC, IAASB, IASB, IFASB, IESBA, M.phil (Commerce), Masters in History, PIPFA Qualified, ACMA Finalist.",869,975,2019-10-21 08:02:37+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 11:17:10+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
151,1590661670137139201,1459666484687482881,ايهاب محي الدين,ehabmohy717,https://pbs.twimg.com/profile_images/1459666807023939589/lFWlhhr8_normal.png,,12,35,2021-11-13 23:37:40+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 11:04:29+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
152,1590659019999707136,1397308241219047425,AMPthekey,AMPthekey,https://pbs.twimg.com/profile_images/1418032468163235841/c9-79ol8_normal.jpg,"4th account. Soy Miguel, Actitud Mental Positiva, para sanar.
I'm Michael, I'm learning English to communicate with the world.",799,566,2021-05-25 21:47:17+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 10:53:58+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
153,1590648228969558016,39029722,Jessie Torres,molavefinds,https://pbs.twimg.com/profile_images/625427488722714624/i0GWF1vE_normal.png,My caffeine fix just got co-opted by #TatayDigong & #BBMSARAUniteam #BuildBuildBuild,3864,1479,2009-05-10 10:49:07+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 10:11:05+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
154,1590646407874359296,1536898812840902656,Nirjan Gurung,NirjanGurung4,https://pbs.twimg.com/profile_images/1552415742783819776/5uqOb62b_normal.jpg,,226,94,2022-06-15 02:30:30+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 10:03:51+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
155,1590644780161462272,1541946755385675781,Kiyo(IELTS),IeltsKiyofumi,https://pbs.twimg.com/profile_images/1574304978675433472/yPyHRt6a_normal.jpg,海外大学院博士課程を目指します！/精神科訪問看護師/院生/財団研究員/TOEIC L&R 935/IELTS OA 6.5/ 目標OA 7.5/#IELTS300時間勉強,147,119,2022-06-29 00:48:58+00:00,"#TOEFL 
Speaking https://t.co/Av98h91QGh",2022-11-10 09:57:22+00:00,0,"[{'text': 'TOEFL', 'indices': [0, 6]}]",[],[]
156,1590640935905693696,115636602,MindMind,MidSummerMind,https://pbs.twimg.com/profile_images/825619161162215424/Qc9Mq7oA_normal.jpg,Mind in the middle of the Summer,155,5,2010-02-19 10:57:41+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 09:42:06+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
157,1590633186718908416,1234501758363127808,АНГЛИ ХЭЛЭЭ СЭРГЭЭЦГЭЭЕ,English_Mongol,https://pbs.twimg.com/profile_images/1335242903363338241/ltAo1eQk_normal.jpg,"Lets improve your English with me. 
Follow me, Follow you",7431,8233,2020-03-02 15:32:25+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 09:11:18+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
158,1590625298391109632,2717406861,W O H T,WilliColl,https://pbs.twimg.com/profile_images/1572967965582147584/eMp5GWeY_normal.jpg,-...,332,69,2014-07-19 03:55:42+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 08:39:58+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
159,1590614831354478592,1416006202203406338,(☞ﾟヮﾟ)☞,Etuoi3,https://pbs.twimg.com/profile_images/1542466890831802369/RJmlzB7A_normal.jpg,Yea,28,0,2021-07-16 12:06:19+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 07:58:22+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
160,1590611821928804352,1200143892,#Inglés Retweeter,retweetingles,https://pbs.twimg.com/profile_images/689196341646503938/p8iL6Y-T_normal.jpg,"Retweeting tweets with #inglés (with some 'academic' content or links to blogs, videos etc). Max. 5⃣ #s Dog's name is Nelson.",1,2026,2013-02-20 08:50:06+00:00,"RT @EnglishwithPete: BOOST YOUR ENGLISH 🚀🚀🚀
#ingles #toefl #IELTS #ESL #EnglishLanguage https://t.co/8DLqUqkfJL",2022-11-10 07:46:25+00:00,0,"[{'text': 'ingles', 'indices': [44, 51]}, {'text': 'toefl', 'indices': [52, 58]}, {'text': 'IELTS', 'indices': [59, 65]}, {'text': 'ESL', 'indices': [66, 70]}, {'text': 'EnglishLanguage', 'indices': [71, 87]}]",[],"[{'screen_name': 'EnglishwithPete', 'name': 'More_Than_The_Verb_To_Be', 'id': 1586201432994234368, 'id_str': '1586201432994234368', 'indices': [3, 19]}]"
161,1590610052888821760,1490716700341575680,🅱️BamWangXian🎄Strong💚❤️,Strongstrongly,https://pbs.twimg.com/profile_images/1520936059864944640/kn50JC2L_normal.jpg,"อยากให้กำลังใจกับใครที่ผ่านมา 👭
Workout for your health&mind. ชอบอ่านนิยายและดูซีรีส์LGBTQ+ 🏳️‍🌈รักทัศนคติศิลปิน #BamBam #วั่งเซี่ยน #ป๋อจ้าน #MarkBam 💚",1346,107,2022-02-07 15:59:11+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 07:39:23+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
162,1590598919020769280,749955559743451137,عبدالله السبيعي ABDULLAH ALSUBEI,afalsubei,https://pbs.twimg.com/profile_images/775961230699663361/Ti4xWgHX_normal.jpg,اللهم ارحم خالي رحمة واسعه اللهم وسع ونور له في قبره واسكنه فسيح جناتك,3431,2390,2016-07-04 13:18:33+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 06:55:08+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
163,1590596364500897792,1501636025424220161,Juliet,Juliet09512659,https://pbs.twimg.com/profile_images/1581333011559227392/VTnvlXOJ_normal.jpg,French Language Tutor A1-B2|Translator| English Grammar tutor| Editor|Proof reader|Transcriber|,341,74,2022-03-09 19:08:33+00:00,"RT @Next____Level: 📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 06:44:59+00:00,0,"[{'text': 'ingles', 'indices': [41, 48]}, {'text': 'ESL', 'indices': [50, 54]}, {'text': 'toeic', 'indices': [55, 61]}, {'text': 'twinglish', 'indices': [62, 72]}, {'text': 'english', 'indices': [74, 82]}, {'text': 'toefl', 'indices': [83, 89]}]",[],"[{'screen_name': 'Next____Level', 'name': 'Next Level English 🇬🇧', 'id': 1316297102939521024, 'id_str': '1316297102939521024', 'indices': [3, 17]}]"
164,1590592341064450049,1316297102939521024,Next Level English 🇬🇧,Next____Level,https://pbs.twimg.com/profile_images/1446419530851422213/ALvATHzJ_normal.png,"I'm Julian, a professional English teacher from the UK 🇬🇧 Live lessons now on Youtube ➡️https://t.co/suvKNvB271 #toeic #ingles #ESL #ielts",153,106511,2020-10-14 08:37:48+00:00,"📗✏️𝗚𝗿𝗮𝗺𝗺𝗮𝗿 𝗖𝗵𝗲𝗰𝗸 ✏️📗

#ingles  #ESL #toeic #twinglish  #english #toefl https://t.co/p7seoXtZlK",2022-11-10 06:29:00+00:00,593,"[{'text': 'ingles', 'indices': [22, 29]}, {'text': 'ESL', 'indices': [31, 35]}, {'text': 'toeic', 'indices': [36, 42]}, {'text': 'twinglish', 'indices': [43, 53]}, {'text': 'english', 'indices': [55, 63]}, {'text': 'toefl', 'indices': [64, 70]}]",[],[]
